main_speaker,title,speaker_occupation,duration,languages,views,comments
Emiliano Salinas,A civil response to violence,Community activist,737,36,525446,471
Rajesh Rao,A Rosetta Stone for a lost language,Computational neuroscientist,1021,37,1190085,232
Dave deBronkart,Meet e-Patient Dave,e-Patient,991,26,534289,199
Robert Hammond,Building a park in the sky,Friend of the High Line,341,36,704205,92
Matt Cutts,Try something new for 30 days,Technologist,207,72,8838874,736
Nathan Myhrvold,Cooking as never seen before,Polymath,605,35,1396197,159
Jonathan Drori,The beautiful tricks of flowers,Educator,828,32,938976,197
Simon Lewis,Don't take consciousness for granted,"Author, producer",1337,22,690977,216
Nina Tandon,Caring for engineered tissue,Tissue engineering researcher,253,37,490275,164
Rebecca MacKinnon,Let's take back the Internet!,Internet freedom activist,892,34,735708,123
Maajid Nawaz,A global culture to fight extremism,Anti-extremism activist,1073,29,703559,264
Tim Harford,"Trial, error and the God complex","Economist, journalist and broadcaster",1087,34,1734555,316
Nadia Al-Sakkaf,See Yemen through my eyes,Journalist,818,34,498409,199
Mikko Hypponen,"Fighting viruses, defending the net",Cybersecurity expert,1054,39,1660801,222
Thandie Newton,"Embracing otherness, embracing myself",Actor,835,37,2462734,621
Kevin Slavin,How algorithms shape our world,Algoworld expert,922,36,3688975,292
Markus Fischer,A robot that flies like a bird,Designer,379,45,6264902,440
Rory Stewart,Time to end the war in Afghanistan,Politician,1202,31,659276,212
Geoffrey West,The surprising math of cities and corporations,Theorist,1053,34,1435933,238
Paul Bloom,The origins of pleasure,Psychologist,977,41,1948949,212
Josette Sheeran,Ending hunger now,Anti-hunger leader,1150,32,812508,162
Julian Treasure,5 ways to listen better,Sound consultant,470,48,5402228,351
Adam Ostrow,After your final status update,Journalist,329,42,1134961,189
Harald Haas,Wireless data from every light bulb,Communications technology innovator,771,37,2500389,375
Mark Pagel,How language transformed humanity,Evolutionary biologist,1210,43,1421357,405
Jessica Green,Are we filtering the wrong microbes?,Engineer and biodiversity scientist,325,38,551041,75
Philip Zimbardo,The demise of guys?,Psychologist,286,39,2190746,656
Eve Ensler,"Suddenly, my body","Playwright, activist",778,37,1349669,300
Alex Steffen,The shareable future of cities,Planetary futurist,613,34,984738,131
Dyan deNapoli,The great penguin rescue,Penguin expert,703,33,393695,82
Jeremy Gilley,One day of peace,Peace activist,1061,35,842057,311
Lucianne Walkowicz,Finding planets around other stars,Stellar astronomer,264,41,1079565,131
Marco Tempest,The magic of truth and lies (and iPods),Techno-illusionist,307,47,5447236,380
Dan Ariely,Beware conflicts of interest,Behavioral economist,335,41,1055562,63
Svante P’_’_bo,DNA clues to our inner neanderthal,Geneticist,1021,33,1399333,143
Julia Bacha,Pay attention to nonviolence,Filmmaker,651,35,740934,323
Skylar Tibbits,Can we make things that make themselves?,Inventor,364,34,983929,156
Joan Halifax,Compassion and the true meaning of empathy,"Author, Zen priest",841,35,1451656,174
Edward Tenner,Unintended consequences,Historian of technology and culture,970,27,790122,78
Sarah Kaminsky,My father the forger,Actor and writer,840,30,593099,109
Lee Cronin,Making matter come alive,Chemist,911,29,693722,245
Raghava KK,Shake up your story,Artist,270,40,946354,159
Yasheng Huang,Does democracy stifle economic growth?,Political economist,1131,29,992224,374
Misha Glenny,Hire the hackers!,Underworld investigator,1119,36,1264969,185
Kate Hartman,The art of wearable communication,Artist and technologist,545,34,872169,167
Richard Resnick,Welcome to the genomic revolution,Entrepreneur,662,35,852507,148
Lauren Zalaznick,The conscience of television,Media executive,792,30,647752,161
Sasha Dichter,The Generosity Experiment,Nonprofit VC,1177,0,293626,126
Niall Ferguson,The 6 killer apps of prosperity,Historian,1219,33,1564173,592
Jean-Baptiste Michel + Erez Lieberman Aiden,What we learned from 5 million books,Data researcher,848,37,1783040,318
Amy Lockwood,Selling condoms in the Congo,Global development worker,256,39,834926,102
Elizabeth Murchison,Fighting a contagious cancer,Cancer researcher,783,29,484266,144
Sunni Brown,"Doodlers, unite!",Visualizer and gamestorming,350,35,1258574,227
Abraham Verghese,A doctor's touch,Physician and author,1112,33,1390908,231
Geoff Mulgan,A short intro to the Studio School,Social commentator,376,37,667985,155
Jarreth Merz,Filming democracy in Ghana,Filmmaker,516,33,399332,53
Ben Goldacre,Battling bad science,Debunker,859,39,2204314,339
Danielle de Niese,A flirtatious aria,Soprano,355,29,787092,117
Yang Lan,The generation that's remaking China,"Media mogul, TV host",1034,32,1776828,514
Christoph Adami,Finding life we can't imagine,Artificial life researcher,1131,27,598693,153
Graham Hill,"Less stuff, more happiness",Journalist,349,47,3729820,371
Steve Jobs,How to live before you die,Visionary,904,0,8744428,1627
Mike Biddle,We can recycle plastic,Plastics recycler,658,39,975365,316
Charles Hazlewood,Trusting the ensemble,Conductor,1176,29,502832,42
Alison Gopnik,What do babies think?,Child development psychologist,1109,38,2901853,252
Richard Seymour,How beauty feels,Designer,1035,31,950387,107
Ian Ritchie,The day I turned down Tim Berners-Lee,Software entrepreneur,341,34,576592,58
Pamela Meyer,How to spot a liar,Lie detector,1130,39,16861578,561
Jae Rhim Lee,My mushroom burial suit,Artist,450,33,1426518,259
Bunker Roy,Learning from a barefoot movement,Educator,1147,45,3630894,359
Justin Hall-Tipping,Freeing energy from the grid,Science entrepreneur,765,29,1048905,301
Guy-Philippe Goldstein,How cyberattacks threaten real-world peace,Author,564,31,471545,88
Todd Kuiken,"A prosthetic arm that ""feels""",Biomedical engineer,1131,23,841471,84
Nathalie Miebach,Art made of storms,Artist,259,34,729857,148
Richard Wilkinson,How economic inequality harms societies,Public health researcher,1014,40,2487499,1058
Iain McGilchrist,The divided brain,Psychiatrist and writer,708,0,648251,233
Malcolm Gladwell,The strange tale of the Norden bombsight,Writer,900,34,1067460,311
Jay Bradner,Open-source cancer research,Research scientist,767,27,507746,142
B’©atrice Coron,Stories cut from paper,Papercutter artist,1095,31,933319,70
Hasan Elahi,"FBI, here I am!",Privacy artist,870,36,822884,138
Paul Zak,"Trust, morality -- and oxytocin?",Neuroeconomist,994,37,1529057,310
Anna Mracek Dietrich,A plane you can drive,Inventor,578,31,924764,106
Daniel Wolpert,The real reason for brains,Movement expert,1199,30,1736183,250
Marco Tempest,"Augmented reality, techno-magic",Techno-illusionist,344,43,1042789,93
Paul Lewis,How mobile phones helped solve two murders,Journalist,1013,0,148971,46
Sandra Fisher-Martins,The right to understand,"Translator, plain language activist",942,13,291251,90
Martin Hanczyc,The line between life and not-life,Chemist,877,30,720940,188
Aparna Rao,High-tech art (with a sense of humor),Artist,470,37,777463,104
Ben Kacyra,Ancient wonders captured in 3D,Digital preservationist,740,32,487006,93
Allan Jones,A map of the brain,Brain scientist,921,35,1033748,104
Charlie Todd,The shared experience of absurdity,Comedian,724,39,2758792,262
Roger McNamee,6 ways to save the internet,Tech investor,933,0,287416,254
Michael Nielsen,Open science now!,Physicist,982,0,138812,118
Alexander Tsiaras,Conception to birth -- visualized,Medical image maker,577,36,6064898,495
Yves Rossy,Fly with the Jetman,Jetman,888,30,7900891,120
Thomas Suarez,A 12-year-old app developer,"Developer, 12 year old",280,39,6503775,307
Cynthia Kenyon,Experiments that hint of longer lives,"Biochemist, geneticist",983,29,847439,196
Robin Ince,Science versus wonder?,Comedian,518,35,670245,160
Gabe Zichermann,How games make kids smarter,"Entrepreneur, author",978,0,438379,240
Natalie Warne,Being young and making an impact,Activist,769,0,569814,223
Phil Plait,How to defend Earth from asteroids,Astronomer,856,36,2042272,157
P’©ter Fankhauser,"Meet Rezero, the dancing ballbot",Roboticist,316,34,558524,103
Joe Sabia,The technology of storytelling,Storyteller,231,49,1091352,131
Britta Riley,A garden in my apartment,"Artist, urban farmer",472,37,1986542,203
Amy Purdy,Living beyond limits,Pro snowboarder,584,30,1624184,298
Damon Horowitz,Philosophy in prison,"Philosopher, entrepreneur",230,48,1145700,172
Annie Murphy Paul,What we learn before we're born,Science author,1006,37,1757711,217
John Bohannon,"Dance vs. powerpoint, a modest proposal",Science writer,677,28,485285,332
Charles Limb,Building the musical muscle,Researcher,959,27,571200,97
Kathryn Schulz,Don't regret regret,Wrongologist,1011,34,1791790,219
Leslie Dodson,Don't misrepresent Africa,Reporter,686,0,121186,84
Sarah Kay,How many lives can you live?,Poet,735,18,711977,186
Srdja Popovic,How to topple a dictator,Organizer,722,25,276132,91
Luis von Ahn,Massive-scale online collaboration,Computer scientist,999,33,1482664,308
Cheryl Hayashi,The magnificence of spider silk,Spider silk scientist,868,30,764971,117
Yoav Medan,Ultrasound surgery -- healing without cuts,Medical inventor,973,31,698388,417
Stefon Harris,There are no mistakes on the bandstand,Jazz vibraphonist,791,30,653303,113
Klaus Stadlmann,The world's smallest 3D printer,Engineer,508,0,268280,75
David Damberger,What happens when an NGO admits failure,"Engineer, Social Entrepreneur",780,0,221777,138
Monika Bulaj,The hidden light of Afghanistan,Photographer,284,44,550740,86
Quyen Nguyen,Color-coded surgery,Surgeon,968,23,1109932,224
Pavan Sukhdev,Put a value on nature!,Environmental economist,991,29,633715,155
Homaro Cantu + Ben Roche,Cooking as alchemy,Chef,574,34,857205,176
Ramona Pierson,An unexpected place of healing,Education innovator,673,33,369363,48
Roger Doiron,My subversive (garden) plot,Gardening activist,1129,3,191555,130
