main_speaker,title,speaker_occupation,duration,languages,views,comments
Eddie Obeng,Smart failure for a fast-changing world,Business Educator,757,25,1495331,150
John Wilbanks,Let's pool our medical data,Data Commons Advocate,985,19,539219,92
Beau Lotto + Amy O'Toole,"Science is for everyone, kids included","Neuroscientist, Artist",925,28,1272319,119
Heather Brooke,My battle to expose government corruption,Journalist,1137,26,932024,127
Ryan Merkley,"Online video -- annotated, remixed and popped","COO, Mozilla Foundation",265,30,695153,111
Pankaj Ghemawat,"Actually, the world isn't flat",Globalization researcher,1023,22,813261,115
David Pizarro,The strange politics of disgust,"Psychologist, Disgust researcher",842,26,692434,102
Lemn Sissay,A child of the state,Poet and playwright,917,27,720465,141
Doris Kim Sung,Metal that breathes,Architect,539,28,1171568,151
Marco Tempest,A cyber-magic card trick like no other,Techno-illusionist,395,37,1965808,109
Rory Stewart,Why democracy matters,Politician,821,30,852344,361
Sanjay Pradhan,How open data is changing international aid,Development Leader,866,26,488481,58
Emma Teeling,The secret of the bat genome,Zoologist,985,24,472121,79
Adam Garone,"Healthier men, one moustache at a time",Moustache activist,1001,31,714578,77
Faith Jegede Cole,What I've learned from my autistic brothers,Writer,320,38,1123786,169
Matt Killingsworth,Want to be happier? Stay in the moment,Happiness researcher,616,33,2723934,300
Jake Wood,A new mission for veterans -- disaster relief,"CEO, Team Rubicon",299,31,485501,105
Gary Greenberg,The beautiful nano details of our world,Micro photographer,726,24,1022799,44
Georgette Mulheir,The tragedy of orphanages,"CEO, Lumos",641,29,803292,69
Jeff Hancock,The future of lying,Psychologist,1111,24,1198585,107
Julie Burstein,4 lessons in creativity,Writer and radio producer,1040,26,1776779,76
Arunachalam Muruganantham,How I started a sanitary napkin revolution!,Inventor,561,25,1115222,170
Hannah Brencher,Love letters to strangers,Letter enthusiast,292,38,1909462,197
Leah Buechley,"How to ""sketch"" with electronics",Designer,393,35,766305,82
David Binder,The arts festival revolution,Theater producer,546,27,674288,41
Daphne Bavelier,Your brain on video games,Cognitive researcher,1077,28,4682458,309
Amos Winter,The cheap all-terrain wheelchair,Mechanical engineer,674,26,1004016,136
Sleepy Man Banjo Boys,Teen wonders play bluegrass,Bluegrass musicians,302,33,1798001,87
Louie Schwartzberg,Nature. Beauty. Gratitude.,Filmmaker,587,38,3658158,667
Candy Chang,Before I die I want to ...,"Artist, designer, urban planner",380,44,4922118,782
Ernesto Sirolli,Want to help someone? Shut up and listen!,Sustainable development expert,1029,35,2829484,329
Jonas Eliasson,How to solve traffic jams,Transportation specialist,507,33,1194938,221
Janine Shepherd,A broken body isn't a broken person,Pilot,1137,31,1367089,342
Munir Virani,Why I love vultures,"Raptor biologist, wildlife photographer",401,33,926948,74
Paolo Cardini,"Forget multitasking, try monotasking",Designer,172,48,2324212,183
Bobby Ghosh,Why global jihad is losing,Editor,991,23,660569,238
Ludwick Marishane,A bath without water,Entrepreneur,313,34,1594495,129
Jeff Smith,Lessons in business ... from prison,Recovering politician,300,32,1233545,102
Nina Tandon,Could tissue engineering mean personalized medicine?,Tissue engineering researcher,379,31,1063880,145
Lemon Andersen,Please don't take my Air Jordans,Poet and actor,535,23,1120276,84
Ellen 't Hoen,"Pool medical patents, save lives",Medicine law expert,676,24,389194,94
Markham Nolan,How to separate fact and fiction online,Journalist,809,25,1229150,107
Maz Jobrani,"A Saudi, an Indian and an Iranian walk into a Qatari bar ...",Comedian,431,30,8105311,200
Marcus Byrne,The dance of the dung beetle,Entomologist,1028,23,1003863,72
Ben Saunders,Why bother leaving the house?,Arctic explorer,637,33,1778739,112
Robin Chase,"Excuse me, may I rent your car?",Transport networker,744,24,917877,82
Molly Crockett,Beware neuro-bunk,Neuroscientist,678,28,1200277,183
Steven Addis,"A father-daughter bond, one photo at a time",Brand strategist,218,45,1405909,75
Adam Davidson,What we learned from teetering on the fiscal cliff,Journalist,1188,20,783528,215
Ronny Edry,Israel and Iran: A love story?,Graphic Designer,897,33,2033797,810
Karen Thompson Walker,What fear can teach us,Novelist,690,30,1951290,200
Hadyn Parry,Re-engineering mosquitos to fight disease,Biotechnology entrepreneur,837,26,943968,311
Don Levy,A cinematic journey through visual effects,Film executive,414,28,724773,56
Jonathan Haidt,How common threats can make common (political) ground,Social psychologist,1201,23,606994,226
Sue Austin,Deep sea diving ... in a wheelchair,Performance artist,578,31,2052286,197
Jarrett J. Krosoczka,How a boy became an artist,Author/illustrator,1128,26,879676,134
Boghuma Kabisen Titanji,Ethical riddles in HIV research,Clinical researcher,670,26,478878,54
Andy Puddicombe,All it takes is 10 mindful minutes,Mindfulness expert,564,39,8033595,366
Angela Patton,A father-daughter dance ... in prison,Activist,528,33,815594,127
Ellen Jorgensen,"Biohacking -- you can do it, too","Biologist, community science advocate",608,26,1164723,169
Cameron Russell,"Looks aren't everything. Believe me, I'm a model.",Model,577,43,19787465,846
Richard Weller,Could the sun be good for your heart?,Dermatologist,779,25,1042284,93
Colin Stokes,How movies teach manhood,Proud dad,773,37,4146987,659
Janine di Giovanni,What I saw in the war,Reporter,713,32,939074,120
Colin Powell,Kids need structure,Former U.S. Secretary of State,1066,28,1485801,818
Steven Schwaitzberg,A universal translator for surgeons,Surgeon and technologist,701,27,497489,73
Leslie Morgan Steiner,Why domestic violence victims don't leave,Writer,959,40,3846779,800
Wingham Rowan,A new kind of job market,Policy entrepreneur,740,24,1058852,144
Mitch Resnick,Let's teach kids to code,Computer scientist,1008,28,1725064,143
iO Tillett Wright,Fifty shades of gay,Photographer,1098,34,2679698,411
Fahad Al-Attiya,A country with no water,Food security expert,526,37,1412688,103
Kid President,I think we all need a pep talk,Inspirer,208,0,828203,229
Zahra' Langhi,Why Libya's revolution didn't work -- and what might,Activist,588,28,525297,93
Tyler DeWitt,Hey science teachers -- make it fun,Science enthusiast,680,32,1489438,312
Cesar Kuriyama,One second every day,Video maker,482,36,1666552,249
Lee Cronin,Print your own medicine,Chemist,186,41,987709,210
Edi Rama,Take back your city with paint,Politician,942,29,595537,99
Shabana Basij-Rasikh,Dare to educate Afghan girls,Educator,576,45,932561,166
Erik Schlangen,"A ""self-healing"" asphalt",Experimental micromechanics pioneer,410,32,984382,122
James B. Glattfelder,Who controls the world?,Complex systems theorist,850,31,2533881,301
Esther Perel,The secret to desire in a long-term relationship,Relationship therapist,1150,35,10524043,473
Young-ha Kim,"Be an artist, right now!",Writer,1017,24,1841716,158
Miguel Nicolelis,"A monkey that controls a robot with its thoughts. No, really.",Neuroscientist,895,32,1229865,206
Keith Chen,Could your language affect your ability to save money?,Behavioral economist,733,32,1642461,342
Afra Raymond,Three myths about corruption,Transparency activist,1089,30,824898,162
Andreas Schleicher,Use data to build better schools,Education surveyor,1187,29,699088,145
Michael Dickinson,How a fly flies,Biologist,955,26,1555722,137
Bruce Feiler,Agile programming -- for your family,Writer,1080,25,1403668,117
Bruno Maisonnier,"Dance, tiny robots!",Roboticist,189,44,1193896,129
Sugata Mitra,Build a School in the Cloud,Education researcher,1351,43,2895821,548
Jennifer Granholm,A clean energy proposal -- race to the top!,Former governor of Michigan,761,22,745252,279
Amanda Palmer,The art of asking,"Musician, blogger",827,40,9006600,838
Allan Savory,How to fight desertification and reverse climate change,Grassland ecosystem pioneer,1339,33,4191678,1586
Edith Widder,How we found the giant squid,Marine biologist,518,29,3773245,205
Ron Finley,A guerilla gardener in South Central LA,Gardener,645,34,3005687,1413
Kakenya Ntaiya,A girl who demanded school,Educator and activist,916,35,2460131,208
Shane Koyczan,To This Day ... for the bullied and beautiful,Poet,723,34,5316753,720
Dan Pallotta,The way we think about charity is dead wrong,"Author, speaker, reformer",1134,27,4259204,1451
David Anderson,Your brain is more than a bag of chemicals,Neurobiologist,925,26,1342510,212
Stewart Brand,The dawn of de-extinction. Are you ready?,"Environmentalist, futurist",1104,25,1939539,400
Bono,"The good news on poverty (Yes, there's good news)","Musician, activist",837,30,1648677,361
Catarina Mota,Play with smart materials,Maker,595,28,1058569,135
Danny Hillis,The Internet could crash. We need a Plan B,Computer theorist,751,25,1265177,172
Elon Musk,"The mind behind Tesla, SpaceX, SolarCity ...",Serial entrepreneur,1264,32,4564213,417
Hyeonseo Lee,My escape from North Korea,Activist,735,41,9551344,902
Francis Collins,We need better drugs -- now,"Geneticist, physician",880,28,796884,156
Eric Whitacre,Virtual Choir Live,"Composer, conductor",752,29,1005088,208
Jessica Green,We're covered in germs. Let's design for that.,Engineer and biodiversity scientist,523,29,955827,91
Mark Shaw,One very dry demo,Macroencapsulator,331,37,1539504,328
Richard Turere,My invention that made peace with lions,Inventor,440,43,2025005,246
Colin Camerer,"When you're making a deal, what's going on in your brain?",Behavioral economist,829,29,1342712,80
Katherine Kuchenbecker,The technology of touch,Mechanical engineer,388,0,274986,183
Kees Moeliker,How a dead duck changed my life,Ornithologist,712,31,1306390,140
Sanjay Dastoor,"A skateboard, with a boost",Roboticist,260,39,1683410,307
Lawrence Lessig,"We the People, and the Republic we must reclaim",Legal activist,1099,26,1443340,728
Skylar Tibbits,"The emergence of ""4D printing""",Inventor,502,27,2449740,208
Ken Jennings,"Watson, Jeopardy and me, the obsolete know-it-all",Know-it-all,1072,24,1135004,187
Freeman Hrabowski,4 pillars of college success in science,Educator,910,28,911601,102
Keller Rinaudo,A mini robot -- powered by your phone,Robotics entrepreneur,350,35,1118006,183
Dan Ariely,What makes us feel good about our work?,Behavioral economist,1226,37,5319077,347
Eric Dishman,Health care should be a team sport,Social scientist,959,21,836699,129
Laura Snyder,The Philosophical Breakfast Club,Science historian,754,28,1203901,210
Rose George,Let's talk crap. Seriously.,Curious journalist,841,31,1624716,167
Thomas Insel,Toward a new understanding of mental illness,Neuroscientist and psychiatrist,783,31,1188149,264
Joshua Prager,In search of the man who broke my neck,Journalist,1110,28,1341106,225
Andres Lozano,"Parkinson's, depression and the switch that might turn them off",Neurosurgeon,934,28,1303148,282
BLACK,My journey to yo-yo mastery,Yo-yo champion,628,35,7373875,219
John McWhorter,Txtng is killing language. JK!!!,Linguist,828,31,2162439,388
Robert Gordon,"The death of innovation, the end of growth",Economist,734,28,1091988,200
Erik Brynjolfsson,The key to growth? Race with the machines,Innovation researcher,716,27,1200139,235
Michael Stevens,How much does a video weigh?,YouTube educator,441,0,195899,126
Jennifer Healey,"If cars could talk, accidents might be avoidable",Research scientist,540,32,814568,159
David Pogue,10 top time-saving tech tips,Technology columnist,344,44,4843480,323
Nilofer Merchant,Got a meeting? Take a walk,"Corporate director, author",208,49,2735769,194
Taylor Wilson,My radical plan for small nuclear fission reactors,Nuclear scientist,773,27,1546610,473
Sebasti’£o Salgado,The silent drama of photography,Photojournalist,1013,30,1593382,126
Juan Enriquez,"Your online life, permanent as a tattoo",Futurist,357,39,1567528,146
Rita Pierson,Every kid needs a champion,Educator,468,46,7469445,632
Timothy Bartik,The economic case for preschool,Economist,945,21,407419,148
ShaoLan,Learn to read Chinese ... with ease!,"Technologist, entrepreneur",370,51,3062980,440
Bill Gates,Teachers need real feedback,Philanthropist,624,39,2206204,405
Ramsey Musallam,3 rules to spark learning,Educator,389,39,2592925,149
Pearl Arredondo,"My story, from gangland daughter to star teacher",Teacher,483,31,1059278,120
Malcolm London,"""High School Training Ground""","Poet, performer, activist",180,33,1188177,62
Geoffrey Canada,Our failing schools. Enough is enough!,Education reformer,1027,30,1786965,321
Angela Lee Duckworth,Grit: The power of passion and perseverance,Psychologist,372,49,12039978,659
Ken Robinson,How to escape education's death valley,Author/educator,1151,43,6657858,634
Meg Jay,Why 30 is not the new 20,Clinical psychologist,889,34,8958850,937
Maria Bezaitis,Why we need strangeness,Computer engineer,480,30,1114173,128
Liu Bolin,The invisible man,Artist,466,23,1304597,97
Jay Silver,"Hack a banana, make a keyboard!",Inventor,795,27,1319453,145
Sergey Brin,Why Google Glass?,"Computer scientist, entrepreneur and philanthropist",435,38,2026001,339
Peter Singer,The why and how of effective altruism,"Philosopher, ethicist",1039,33,1533054,475
Phil Hansen,Embrace the shake,Multimedia artist,601,31,2155416,172
Judy MacDonald Johnston,Prepare for a good end of life,Entrepreneur,363,34,1467971,239
Alastair Parvin,Architecture for the people by the people,Designer,791,30,1422767,180
Ji-Hae Park,"The violin, and my dark night of the soul",Violinist,761,35,2715019,276
Paola Antonelli,Why I brought Pac-Man to MoMA,Design curator,1122,22,934335,118
Jackson Katz,Violence against women -- it's a men's issue,Anti-sexism educator,1060,27,1625776,921
Hendrik Poinar,Bring back the woolly mammoth!,Evolutionary geneticist,622,30,948509,146
Lisa Bu,How books can open your mind,Passionate reader,376,48,3158067,404
Andrew Solomon,"Love, no matter what",Writer,1407,33,4032150,489
Alex Laskey,How behavioral science can lower your energy bill,Energy software maker,491,35,1089949,127
Anas Aremeyaw Anas,"How I named, shamed and jailed",Undercover journalist,766,23,1421509,149
Denise Herzing,Could we speak the language of dolphins?,Dolphin researcher,878,26,1164684,103
Martin Villeneuve,How I made an impossible film,"Graphic artist, director",655,30,948840,110
Andrew McAfee,What will future jobs look like?,Management theorist,855,31,2102608,354
Raffaello D'Andrea,The astounding athletic power of quadcopters,Autonomous systems pioneer,968,32,10281817,309
George Papandreou,Imagine a European democracy without borders,Former Prime Minister of Greece,1206,28,741720,280
Daniel Suarez,The kill decision shouldn't belong to a robot,Sci-fi author,800,27,1908577,154
Manal al-Sharif,A Saudi woman who dared to drive,Women_Ñés rights activist,856,33,1492163,339
Didier Sornette,How we can predict the next financial crisis,Risk economist,1021,22,1361404,161
Juliana Rotich,"Meet BRCK, Internet access built for Africa",Tech entrepreneur,573,30,630822,114
Joseph Kim,The family I lost in North Korea. And the family I gained.,North Korean refugee,1283,34,2140135,311
Paul Pholeros,How to reduce poverty? Fix homes,Architect,1059,25,1330614,108
Camille Seaman,Photos from a storm chaser,Photographer,206,48,1608679,139
Lesley Hazleton,The doubt essential to faith,"Writer, psychologist",825,33,1361374,441
Peter Attia,Is the obesity crisis hiding a bigger problem?,Surgeon,958,37,2459753,1000
Bob Mankoff,Anatomy of a New Yorker cartoon,Cartoon editor,1259,25,1168185,63
Michael Archer,"How we'll resurrect the gastric brooding frog, the Tasmanian tiger",Paleontologist,1056,21,554360,109
Rodney Brooks,Why we will rely on robots,Roboticist,596,27,1351691,223
Eric X. Li,A tale of two political systems,Investor and political scientist,1237,30,2449736,1640
Joel Selanikio,The big-data revolution in healthcare,Health and technology activist,978,28,687669,85
Jinha Lee,Reach into the computer and grab a pixel,"Interface designer, engineer",307,36,1772635,206
Sleepy Man Banjo Boys,Bluegrass virtuosity from ... New Jersey?,Bluegrass musicians,527,32,5199008,129
Charmian Gooch,Meet global corruption's hidden players,Anti-corruption activist,867,34,1570996,258
Michael Green,Why we should build wooden skyscrapers,Architect,742,31,1207550,308
"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",The interspecies internet? An idea in progress,Cognitive psychologist,1201,20,717979,130
Jack Andraka,A promising test for pancreatic cancer ... from a teenager,Cancer detector inventor,649,31,4538435,269
Al Vernacchio,Sex needs a new metaphor. Here's one ...,Sexuality educator,501,29,1836106,230
Bernie Krause,The voice of the natural world,Natural sounds expert,888,28,1022050,186
Gavin Pretor-Pinney,Cloudy with a chance of joy,Cloudspotter,654,28,1223155,123
Pico Iyer,Where is home?,Global author,841,35,3035515,239
Miranda Wang and Jeanny Yao,Two young scientists break down plastics with bacteria,Science fair winners,560,32,1212774,153
Tom Thum,The orchestra in my mouth,Beatboxer,701,37,8688241,173
John Searle,Our shared condition -- consciousness,Philosopher,899,35,1332731,630
Kate Stone,DJ decks made of ... paper,Shepherd of electrons,705,22,686914,169
Roberto D'Angelo + Francesca Fedeli,"In our baby's illness, a life lesson",Parents,377,38,1100997,107
Paul Kemp-Robertson,Bitcoin. Sweat. Tide. Meet the future of branded currency.,Advertising expert,651,28,1068469,263
Tania Luna,How a penny made me feel like a millionaire,Surprisologist,331,43,1655352,295
Bastian Schaefer,A 3D-printed jumbo jet?,Aircraft engineer,358,33,1105500,121
Eli Beer,The fastest ambulance? A motorcycle,Life saver,644,31,1062701,162
Julie Taymor,"Spider-Man, The Lion King and life on the creative edge","Director, designer",1108,26,959460,78
Peter van Manen,Better baby care -- thanks to Formula 1,Electronic systems expert,476,34,790591,121
Beardyman,The polyphonic me,Beatboxer and inventor,670,32,2067955,177
Daniel H. Cohen,For argument's sake,Philosopher,575,29,1423637,390
Jinsop Lee,Design for all 5 senses,Multi-sense designer,543,36,1469884,180
Saki Mafundikwa,Ingenuity and elegance in ancient African alphabets,Graphic designer,490,34,724180,90
Eleanor Longden,The voices in my head,Research psychologist,857,37,4058274,671
Derek Paravicini and Adam Ockelford,In the key of genius,Musician,1178,26,1471722,201
Margaret Heffernan,The dangers of willful blindness,Management thinker,878,30,1537390,289
Shigeru Ban,Emergency shelters made from paper,Architect,702,34,1573440,157
Russell Foster,Why do we sleep?,Circadian neuroscientist,1306,37,6504999,419
Steve Ramirez and Xu Liu,A mouse. A laser beam. A manipulated memory.,Neuroscientist,925,27,1044961,333
May El-Khalil,Making peace is a marathon,Founder of the Beirut Marathon,616,40,5182832,186
Adam Spencer,Why I fell in love with monster prime numbers,Science communicator,1037,28,2014461,202
Kelly McGonigal,How to make stress your friend,Health psychologist,868,47,14566463,693
Chrystia Freeland,The rise of the new global super-rich,Plutocracy chronicler,924,29,1909640,554
Alexa Meade,Your body is my canvas,Visual artist,424,34,2682427,257
George Monbiot,"For more wonder, rewild the world",Rewilding campaigner,910,26,887823,166
Jake Barton,The museum of you,Designer and storyteller,938,25,780039,68
Ron McCallum,How technology allowed me to read,Labor lawyer and activist,944,31,682353,90
Sonia Shah,3 reasons we still haven_—Èt gotten rid of malaria,Science writer,918,28,1118305,98
Apollo Robbins,The art of misdirection,Gentleman thief,527,37,15283242,285
James Lyne,Everyday cybercrime -- and what you can do about it,Cybersecurity specialist,1046,28,1397126,133
Marla Spivak,Why bees are disappearing,Bees scholar,957,34,2436104,253
Eric Berlow and Sean Gourley,Mapping ideas worth spreading,Ecologist,475,32,1085152,99
Andras Forgacs,Leather and meat without killing animals,Bioprinting entrepreneur,542,39,1151214,463
Benjamin Barber,Why mayors should rule the world,Political theorist,1085,24,719821,253
Elizabeth Loftus,How reliable is your memory?,False memories scholar,1056,32,3338820,520
Stuart Firestein,The pursuit of ignorance,Neuroscientist,1113,29,1836382,193
Onora O'Neill,What we don't understand about trust,Philosopher,590,29,1469734,127
James Flynn,Why our IQ levels are higher than our grandparents',Moral philosopher,1120,34,2991225,313
Kevin Breel,Confessions of a depressed comic,"Comedian, activist",660,34,2954036,565
Malcolm Gladwell,The unheard story of David and Goliath,Writer,940,35,3665885,441
Kelli Swazey,Life that doesn't end with death,Anthropologist,834,26,1538661,169
Amy Webb,How I hacked online dating,"Founder and CEO, Future Today Institute",1047,32,6298610,404
Fabian Oefner,Psychedelic science,Photographer,725,31,1789403,133
Jason Pontin,Can technology solve our big problems?,Editor,603,29,1507409,266
Michael Porter,The case for letting business solve social problems,Business strategist,988,29,1573620,218
Michael Sandel,Why we shouldn't trust markets with our civic life,Political philosopher,877,31,1684720,395
Janette Sadik-Khan,New York's streets? Not so mean any more,City transportation expert,842,25,925046,148
Trita Parsi,Iran and Israel: Peace is possible,Political scientist,645,29,740772,147
Gary Slutkin,Let's treat violence like a contagious disease,Epidemiologist,848,26,734171,268
Andrew Fitzgerald,Adventures in Twitter fiction,Editor,715,25,1000495,64
Jeff Speck,The walkable city,Urban planner,1016,26,1041732,124
Amanda Bennett,We need a heroic narrative for death,Journalist,924,24,986726,124
Iwan Baan,Ingenious homes in unexpected places,Urban documentarian,1018,28,1463086,195
Alessandro Acquisti,What will a future without secrets look like?,Privacy economist,900,27,1305155,134
Hetain Patel,Who am I? Think again,Artist,546,36,2663827,165
Steve Howard,Let's go all-in on selling sustainability,Corporate innovator,798,27,1041748,143
Charles Robertson,Africa's next boom,Emerging-markets economist,693,28,1204089,207
Parul Sehgal,An ode to envy,Literary critic,791,31,2158038,227
Gian Giudice,Why our universe might exist on a knife-edge,Theoretical physicist,850,30,1644420,207
Xavier Vilalta,Architecture at home in its community,Architect and urbanist,464,28,999700,84
Mariana Mazzucato,"Government -- investor, risk-taker, innovator",Innovation economist,844,20,816687,262
Mohamed Hijri,A simple solution to the coming phosphorus crisis,Biologist,821,22,618471,130
Abha Dawesar,"Life in the ""digital now""",Novelist,721,26,1245695,194
Holly Morris,Why stay in Chernobyl? Because it's home.,Explorer and filmmaker,531,31,1108528,172
Dong Woo Jang,The art of bow-making,Bow designer,508,31,2290464,167
Rodrigo Canales,The deadly genius of drug cartels,Business professor,1072,25,2225283,286
Robin Nagle,What I discovered in New York City  trash,Trash anthropologist,472,33,1628594,148
Gr’©goire Courtine,The paralyzed rat that walked,Spinal cord researcher,863,27,926295,156
Mikko Hypponen,How the NSA betrayed the world's trust -- time to act,Cybersecurity expert,1158,30,1535238,515
Arthur Benjamin,The magic of Fibonacci numbers,Mathemagician,384,44,4376218,325
Dambisa Moyo,Is China the new idol for emerging economies?,Global economist ,983,25,2060055,833
Chris Downey,Design with the blind in mind,Architect,700,30,970048,100
Mohamed Ali,The link between unemployment and terrorism,Human rights advocate,541,32,1017789,209
Stefan Larsson,What doctors can learn from each other,Value-based health care advocate,776,32,848735,126
Jane McGonigal,Massively multi-player_—_ thumb-wrestling?,Game Designer,438,33,1154880,147
Lian Pin Koh,A drone's-eye view of conservation,Drones ecologist,810,23,599368,138
Greg Asner,Ecology from the air,Airborne ecologist,830,28,692579,177
Henry Evans and Chad Jenkins,Meet the robots for humanity,Robotics activist,621,28,1203523,224
Andreas Raptopoulos,No roads? There's a drone for that,Airborne logistics activist,553,27,992489,291
Peter Doolittle,"How your ""working memory"" makes sense of the world",Educational psychology professor,569,35,2030203,258
Jared Diamond,How societies can grow old better,Civilization scholar,1091,31,923663,182
Suzana Herculano-Houzel,What is so special about the human brain?,Neuroscientist,811,38,2454860,992
David Steindl-Rast,Want to be happy? Be grateful,Monk,870,43,5893321,582
Toby Eccles,Invest in social change,Social investment visionary,603,26,921788,217
Geraldine Hamilton,Body parts on a chip,Bio researcher,803,28,1511694,247
Sally Kohn,Let_—Ès try emotional correctness,Political pundit,359,37,1822907,507
David Lang,My underwater robot,Maker,268,41,1225960,162
Enrique Pe’±alosa,Why buses represent democracy in action,"Colombian politician, urban activist",857,29,871452,253
Boyd Varty,What I learned from Nelson Mandela,Environmental and literacy activist,899,36,1585575,265
Di’©b’©do Francis K’©r’©,How to build with clay ... and community,Community-minded architect,731,29,900115,156
Eddy Cartaya,My glacier cave discoveries,Cave Explorer,482,26,666996,80
Stephen Cave,The 4 stories we tell ourselves about death,Philosopher,933,33,2255033,594
Rose George,Inside the secret shipping industry,Curious journalist,683,26,1430350,89
Toni Griffin,A new vision for rebuilding Detroit,Place maker,708,24,826744,178
Marco Annunziata,Welcome to the age of the industrial internet,Economist,756,29,1429564,114
Andrew Solomon,"Depression, the secret we share",Writer,1761,33,7265611,767
Krista Donaldson,The $80 prosthetic knee that's changing lives,Engineer,595,30,954702,137
Paul Piff,Does money make you mean?,Social psychologist,995,32,3213217,782
Diana Nyad,"Never, ever give up","Journalist, swimmer",935,36,4548115,372
Mick Cornett,How an obese town lost a million pounds,Mayor,915,28,1514912,99
Maysoon Zayid,I got 99 problems ... palsy is just one,Comedian and writer ,853,42,8879917,683
Suzanne Talhouk,Don't kill your language,Poet and language advocate,852,33,1233104,345
Roger Stein,A bold new way to fund drug research,Financial management expert,669,21,904210,158
Sandra Aamodt,Why dieting doesn't usually work,Neuroscientist and science writer,762,37,4102503,534
Frederic Kaplan,How to build an information time machine,Digital humanities researcher,620,25,1187105,77
Ryan Holladay,To hear this music you have to be there. Literally,,389,33,1284510,140
Harish Manwani,Profit_—Ès not always the point,"COO, Unilever",838,25,1531497,132
Mark Kendall,Demo: A needle-free vaccine patch that's safer and way cheaper,Biomedical engineer,830,27,1004872,170
Sheryl Sandberg,So we leaned in ... now what?,"COO, Facebook",1016,29,2133100,157
Luke Syson,"How I learned to stop worrying and love ""useless"" art",Curator,791,24,1149641,65
Guy Hoffman,"Robots with ""soul""",Roboticist,1058,28,2931366,136
Shereen El Feki,A little-told tale of sex and sensuality,Arab sexuality expert,970,26,1852444,194
Paula Johnson,His and hers _—_ healthcare,Women's-health expert,882,32,1095582,124
Yves Morieux,"As work gets more complex, 6 rules to simplify",Consultant,721,27,3170206,141
Joe Kowan,How I beat stage fright,Musician and graphic designer,483,39,2296874,121
Anant Agarwal,Why massive open online courses (still) matter,Education innovator,919,29,1072727,178
Anne Milgram,Why smart statistics are the key to fighting crime,Criminal justice reformer,761,24,877932,161
McKenna Pope,Want to be an activist? Start with your toys,Teen activist,322,38,917406,106
Nicolas Perony,"Puppies! Now that I_—Ève got your attention, complexity theory",Animal scientist,825,24,965291,44
Maya Penn,"Meet a young entrepreneur, cartoonist, designer, activist ...","Entrepreneur, animator, philanthropist ...",436,38,1458485,116
Esta Soler,How we turned the tide on domestic violence (Hint: the Polaroid helped),Violence and abuse prevention expert,670,31,1034678,76
Dan Berkenstock,"The world is one big dataset. Now, how to photograph it ...",Satellite designer,584,25,836011,36
Teddy Cruz,How architectural innovations migrate across borders,Architect and urbanist,794,25,691538,36
Alex Wissner-Gross,A new equation for intelligence,"Scientist, entrepreneur, inventor",708,27,1977165,316
Aparna Rao,Art that craves your attention,Artist,536,31,1063414,51
David Puttnam,"Does the media have a ""duty of care""?",Producer,641,30,871453,177
Leyla Acaroglu,Paper beats plastic? How to rethink environmental folklore,Sustainability strategist,1087,30,1227480,148
Chris McKnett,The investment logic for sustainability,Sustainable investment champion,739,23,970911,50
Rupal Patel,"Synthetic voices, as unique as fingerprints",Speech scientist,704,32,853612,63
Yann Dall'Aglio,Love -- you're doing it wrong,Philosopher,642,31,3840850,208
Molly Stevens,A new way to grow bone,Biomaterials researcher,892,22,1185518,52
Roselinde Torres,What it takes to be a great leader,Leadership expert,559,34,3685420,146
Christopher Ryan,Are we designed to be sexual omnivores?,Psychologist,842,26,1981978,290
Ash Beckham,We're all hiding something. Let's find the courage to open up,Equality advocate,562,30,2628178,158
Siddharthan Chandran,Can the damaged brain repair itself?,Regenerative neurologist,957,26,1022945,78
Catherine Bracy,Why good hackers make good citizens,"Hacker, community manager",590,26,849933,110
Michael Metcalfe,We need money for aid. So let_—Ès print it.,Financial expert,864,23,756974,164
Henry Lin,"What we can learn from galaxies far, far away",Student scientist,403,33,1304017,107
Annette Heuser,The 3 agencies with the power to make or break economies,Rating agency reformer,589,30,1210381,92
Mary Lou Jepsen,Could future devices read images from our brains?,Screen engineer,626,30,931677,99
Philip Evans,How data will transform business,Consultant,837,22,1395038,65
Christopher Soghoian,Government surveillance _—” this is just the beginning,Privacy researcher and activist,498,31,822505,86
Gabe Barcia-Colombo,My DNA vending machine,Video sculptor,296,32,795097,64
Manu Prakash,A 50-cent microscope that folds like origami,"Physicist, inventor",561,31,1797519,201
Ajit Narayanan,A word game to communicate in any language,Visual grammar engine inventor,943,27,1256969,222
Anne-Marie Slaughter,"Can we all ""have it all""?",Public policy thinker,1031,24,1424893,185
Toby Shapshak,You don't need an app for that,Technology writer,474,33,1474261,140
Carin Bondar,The birds and the bees are just the beginning,Wild sex biologist,587,26,2379244,79
Steven Pinker and Rebecca Newberger Goldstein,The long reach of reason,Philosopher and writer,924,24,991359,177
Daniel Reisel,The neuroscience of restorative justice,Neuroscientist,875,27,734861,119
Edward Snowden,Here's how we take back the Internet,Whistleblower,2102,31,4040280,421
Chris Hadfield,What I learned from going blind in space,Astronaut,1102,29,4790701,172
Charmian Gooch,My wish: To launch a new era of openness in business,Anti-corruption activist,971,30,760225,215
Richard Ledgett,The NSA responds to Edward Snowden's TED Talk,"Deputy director, NSA",2010,22,1191342,440
